product,day_2,day_3,day_4,total
GALAXY_SOUNDS_BLACK_HOLES,14658.5,14142.0,21124.0,49924.5
GALAXY_SOUNDS_DARK_MATTER,14473.0,31791.0,18118.0,64382.0
GALAXY_SOUNDS_PLANETARY_RINGS,13200.0,-1655.0,37537.0,49082.0
GALAXY_SOUNDS_SOLAR_FLAMES,25975.0,28622.0,22587.0,77184.0
GALAXY_SOUNDS_SOLAR_WINDS,18908.0,16270.0,7635.0,42813.0
MICROCHIP_CIRCLE,27668.0,9057.0,5613.0,42338.0
MICROCHIP_OVAL,30006.0,34590.5,17527.0,82123.5
MICROCHIP_RECTANGLE,5750.0,25458.0,20905.0,52113.0
MICROCHIP_SQUARE,12468.0,43367.0,32737.0,88572.0
MICROCHIP_TRIANGLE,1031.0,15980.0,14886.5,31897.5
OXYGEN_SHAKE_CHOCOLATE,12416.0,15986.0,17908.0,46310.0
OXYGEN_SHAKE_EVENING_BREATH,361.0,32473.0,25966.0,58800.0
OXYGEN_SHAKE_GARLIC,19232.0,30159.0,-4761.0,44630.0
OXYGEN_SHAKE_MINT,31847.0,4000.0,15805.0,51652.0
OXYGEN_SHAKE_MORNING_BREATH,1575.0,36050.0,3725.0,41350.0
PANEL_1X2,31518.0,4425.0,8110.0,44053.0
PANEL_1X4,-2030.0,30502.0,10405.0,38877.0
PANEL_2X2,0.0,16386.0,10260.0,26646.0
PANEL_2X4,29077.0,13301.0,4984.0,47362.0
PANEL_4X4,25122.0,12467.0,7073.0,44662.0
PEBBLES_L,43877.0,39042.0,12005.0,94924.0
PEBBLES_M,222.0,24595.0,26973.0,51790.0
PEBBLES_S,13525.0,18363.0,33973.0,65861.0
PEBBLES_XL,71115.0,64081.0,-2374.0,132822.0
PEBBLES_XS,19455.0,39811.0,24061.0,83327.0
ROBOT_DISHES,10068.0,36978.0,-10374.0,36672.0
ROBOT_IRONING,4860.0,20290.0,3679.0,28829.0
ROBOT_LAUNDRY,10727.0,18969.0,950.0,30646.0
ROBOT_MOPPING,-1835.0,26603.0,7463.0,32231.0
ROBOT_VACUUMING,326.0,14662.0,290.0,15278.0
SLEEP_POD_COTTON,11190.0,15009.0,20490.0,46689.0
SLEEP_POD_LAMB_WOOL,18390.0,31387.0,21109.0,70886.0
SLEEP_POD_NYLON,2095.0,14242.0,6591.0,22928.0
SLEEP_POD_POLYESTER,17615.0,30609.0,9113.0,57337.0
SLEEP_POD_SUEDE,10950.0,37249.0,18861.0,67060.0
SNACKPACK_CHOCOLATE,18845.0,10155.0,2060.0,31060.0
SNACKPACK_PISTACHIO,14368.0,6101.0,2921.0,23390.0
SNACKPACK_RASPBERRY,29811.0,15655.0,16985.0,62451.0
SNACKPACK_STRAWBERRY,4280.0,20688.0,13230.0,38198.0
SNACKPACK_VANILLA,16495.0,9586.0,6240.0,32321.0
TRANSLATOR_ASTRO_BLACK,-1590.0,16787.0,24388.0,39585.0
TRANSLATOR_ECLIPSE_CHARCOAL,10036.0,17447.0,28622.0,56105.0
TRANSLATOR_GRAPHITE_MIST,22948.0,21218.0,19195.0,63361.0
TRANSLATOR_SPACE_GRAY,21347.0,8445.0,5168.0,34960.0
TRANSLATOR_VOID_BLUE,14490.0,26576.0,19470.0,60536.0
UV_VISOR_AMBER,14935.0,11030.0,24436.0,50401.0
UV_VISOR_MAGENTA,12935.0,27274.0,35234.0,75443.0
UV_VISOR_ORANGE,7645.0,8875.0,16366.0,32886.0
UV_VISOR_RED,39387.0,17201.0,-7055.0,49533.0
UV_VISOR_YELLOW,18145.0,0.0,26860.0,45005.0
